Symbol,Source_URL,Bid/Ask,Prev. Close,Open,Day's Range,52 wk Range,Volume,Average Vol. (3m),1-Year Change,Fair Value,Fair Value Upside,Market Cap,Shares Outstanding,Revenue,Net Income,EPS,EPS Growth Forecast,Next Earnings Date,Dividend (Yield),Dividends PaymentStreak,RSI(14),P/E Ratio,Return on Assets,Return on Equity,Gross Profit Margin,Price/Book,EBITDA,EV/EBITDA,Beta,Book Value / Share,ISIN
COSG,https://www.investing.com/equities/cairo-oil---so,1.52/1.53,1.56,1.56,1.51-1.6,1.155-2.23,27.03M,18.49M,24.3%,Unlock,Unlock,948.48M,624M,859.83M,-48.486395,-0.0801,Unlock,-,N/A(N/A),Unlock,65.09,-19.10,-5.8%,-10.1%,8.5%,2.06,26.42M,45.01,-0.52,0.76,EGS30581C010
POUL,https://www.investing.com/equities/cairo-poultry,25.63/25.80,25.61,25.63,25.63-25.96,13.25-28.65,251.26K,1.47M,80.48%,Unlock,Unlock,12.36B,479M,16.1B,2.92K,1.0928,Unlock,"Feb 25, 2026",N/A(N/A),Unlock,44.84,23.48,33.9%,9.8%,23.2%,1.83,4.38B,1.99,0.17,14.03,EGS02051C018
CSAG,https://www.investing.com/equities/canal-shipping,32.71/33.14,33,33.36,32.6-33.36,20-37.79,99.34K,824.47K,18.79%,Unlock,Unlock,9.83B,300M,162.74M,1.01K,3.3512,Unlock,-,2.90(8.79%),Unlock,43.84,9.73,-,66.3%,56.7%,5.86,56.98M,155.96,0.67,5.63,EGS44031C010
PRCL,https://www.investing.com/equities/ceramics-porcl,15.95/16.23,16.3,16.56,15.93-16.65,8.84-17.7,650.77K,956.98K,60.75%,Unlock,Unlock,803.34M,50.37M,95.15M,-108.226356,-2.1488,Unlock,-,N/A(N/A),Unlock,59.40,-7.42,-25.5%,-,34.9%,-4.07,12.44M,-70.08,-0.39,-4.01,EGS3C111C019
CERA,https://www.investing.com/equities/arab-ceramics---aracemco,1.24/1.25,1.24,1.28,1.23-1.29,0.523-1.39,24.64M,13.15M,130.48%,Unlock,Unlock,1.33B,1.08B,2.22B,29.936518,0.0244,Unlock,-,N/A(N/A),Unlock,50.08,50.82,1.7%,5.9%,8.6%,2.92,228.09M,10.47,0.44,0.43,EGS3C151C015
CLHO,https://www.investing.com/equities/cleopatra-hospital,12.70/12.80,12.91,12.98,12.7-12.98,7.19-13.99,253.56K,947.04K,55.17%,Unlock,Unlock,18.52B,1.45B,6.91B,910.890985,0.5198,Unlock,"Mar 16, 2026",N/A(N/A),Unlock,59.43,24.59,12.5%,24.3%,38.9%,5.31,1.79B,12.3,0.74,2.44,EGS729J1C018
COMI,https://www.investing.com/equities/com-intl-bk,115.10/115.20,108.47,109.45,108-115.1,66.36-115.1,5.89M,2.97M,53.96%,Unlock,Unlock,388.12B,3.38B,210.33B,74.95K,20.1716,Unlock,"Feb 10, 2026",2.27(2.10%),Unlock,58.77,5.70,6.1%,39.4%,-,1.76,-,-,0.36,62.08,EGS60121C018
CIEB,https://www.investing.com/equities/credit-agricol,23.74/23.95,24.2,24.31,23.4-24.43,16-24.76,778.49K,718.91K,26.9%,Unlock,Unlock,29.65B,1.25B,18.82B,7.09K,5.7539,Unlock,"Feb 25, 2026",3.20(13.22%),Unlock,50.13,4.13,5.6%,34.7%,-,1.39,-,-,0.38,17.46,EGS60041C018
SUGR,https://www.investing.com/equities/delta-sugar,46.10/46.10,46.01,46.65,45.9-46.65,43.95-55.49,95.9K,194.23K,-4.68%,Unlock,Unlock,6.54B,142.2M,9.31B,677.060934,4.3757,Unlock,"Feb 25, 2026",N/A(N/A),Unlock,37.90,10.51,6.7%,20.5%,10.6%,2.2,901.78M,12.58,-0.37,20.93,EGS30201C015
DSCW,https://www.investing.com/equities/dice-sport---casual-wear,1.74/1.76,1.77,1.78,1.74-1.79,1.493-2.227,21.68M,26.2M,12.03%,Unlock,Unlock,4.69B,2.68B,6.85B,397.792954,0.1484,Unlock,-,N/A(N/A),Unlock,51.99,11.79,6.9%,29.5%,24.4%,3.09,1B,8.47,0.73,0.57,EGS33321C018
EFIH,https://www.investing.com/equities/e-finance-digital-financial-invest,19.70/20.05,20,20,19.7-20.34,10.9-20.34,1.5M,4M,7.53%,Unlock,Unlock,68.94B,3.45B,6.73B,2.21K,0.5719,Unlock,"Feb 26, 2026",0.29(1.44%),Unlock,67.92,31.47,23.6%,27.1%,56%,8.54,2.64B,23.26,0.46,2.25,EGS743O1C013
EAST,https://www.investing.com/equities/eastern-co,36.02/36.70,37.14,37.19,36-37.49,26.6-49.99,3.46M,1.37M,35.55%,Unlock,Unlock,109.17B,3B,39.89B,10.04K,2.99,Unlock,"Feb 27, 2026",2.85(7.67%),Unlock,34.96,12.12,26.2%,64.6%,34%,5.76,10.06B,11.07,-0.053,6.29,EGS37091C013
EXPA,https://www.investing.com/equities/exp-dev-bk-of,15.30/15.80,15.72,15.85,15.4-15.87,12.04-17.8,999.53K,1.86M,24.37%,Unlock,Unlock,21.09B,1.36B,29.57B,5.57K,4.0957,Unlock,-,N/A(N/A),Unlock,54.23,3.78,3%,27.3%,-,0.94,-,-,0.28,16.75,EGS60241C014
EFID,https://www.investing.com/equities/edita-food-industries,27.47/27.59,28.22,28.22,27.06-28.44,12-29.25,1.7M,1.48M,106.82%,Unlock,Unlock,37.93B,1.39B,18.99B,2.11K,1.7012,Unlock,"Mar 04, 2026",0.86(3.04%),Unlock,76.23,16.09,17.3%,44.8%,33.1%,8.26,3.37B,12,0.34,3.39,EGS305I1C011
HRHO,https://www.investing.com/equities/efg-hermes-hol,26.02/26.20,26.8,26.94,26.03-26.97,19.2-31.89,3.66M,5.24M,29.47%,Unlock,Unlock,37.42B,1.44B,23.63B,3.66K,2.5462,Unlock,"Mar 25, 2026",2.22(8.30%),Unlock,51.94,10.25,2.6%,11%,92.1%,1.06,-,-,0.35,24.18,EGS69101C011
EGAL,https://www.investing.com/equities/egypt-aluminum,257.80/263.80,268,269.23,257.05-269.99,121.01-276,351.36K,388.37K,119.55%,Unlock,Unlock,107.25B,412.5M,43.18B,8.37K,20.2891,Unlock,"Feb 25, 2026",8.00(2.99%),Unlock,69.72,12.80,28.4%,41.2%,30.6%,5.31,11.53B,8.99,-0.09,50.47,EGS3E181C010
EGAS,https://www.investing.com/equities/egypt-gas,43.80/44.00,44,44.01,43.7-44.35,33.03-48.5,72.86K,148.94K,7.58%,Unlock,Unlock,6.34B,144.22M,-,335.473512,2.2595,Unlock,-,0.50(1.14%),Unlock,44.75,19.46,2%,7.2%,1.9%,1.37,473.72M,-2.65,0.42,32.22,EGS39011C019
MPRC,https://www.investing.com/equities/egypt-media-pr,26.33/26.50,27.98,28.14,26.2-28.14,19.2-37.19,2.81M,634.78K,27.47%,Unlock,Unlock,5.03B,189.63M,1.23B,657.272196,3.0556,Unlock,-,0.50(1.79%),Unlock,45.68,8.61,14.7%,15.8%,69%,1.36,618.64M,6.03,1.38,20.62,EGS78021C010
EGTS,https://www.investing.com/equities/egyptian-resor,7.89/7.93,8.05,8.09,7.85-8.09,4.77-12.9,1.06M,2.27M,58.46%,Unlock,Unlock,8.28B,1.05B,1.65B,1.01K,0.961,Unlock,-,N/A(N/A),Unlock,47.04,8.21,28.8%,285%,77%,11.94,743.43M,10.79,0.118,0.67,EGS70431C019
ETRS,https://www.investing.com/equities/egyptrans,7.28/7.40,7.5,7.51,7.2-7.57,4.47-8.45,1.29M,5.66M,44.51%,Unlock,Unlock,1.64B,224.95M,1.06B,118.708173,0.7071,Unlock,-,0.25(3.33%),Unlock,54.09,10.25,8.9%,12.8%,18.8%,1.54,79.74M,16.69,0.22,7.04,EGS42051C010
EHDR,https://www.investing.com/equities/egyptn-hous-de,2.31/2.33,2.4,2.41,2.28-2.43,0.363-2.61,10.79M,13.93M,28%,Unlock,Unlock,1.57B,672M,74.72M,-,0.1472,Unlock,-,0.10(4.17%),Unlock,51.94,15.83,-,-,-,-,-,-,-0.21,-,EGS65341C017
PHAR,https://www.investing.com/equities/egypt-intl-phr,78.80/80.00,80.97,81.31,78.55-81.73,43.51-83.99,621K,437.08K,75.26%,Unlock,Unlock,13.33B,168.76M,9.3B,1.26K,7.4501,Unlock,"Feb 26, 2026",3.00(3.71%),Unlock,70.18,10.56,7.9%,22.9%,43.3%,2.2,2.37B,9.01,0.53,36.75,EGS38081C013
ELKA,https://www.investing.com/equities/el-kahera-hous,2.30/2.33,2.35,2.36,2.3-2.38,1.71-2.85,7.69M,7.38M,18.09%,Unlock,Unlock,2.44B,1.06B,541.2M,75.890748,0.0739,Unlock,-,N/A(N/A),Unlock,45.90,31.39,0.9%,1.5%,58.3%,0.48,245.2M,5.73,0.44,4.92,EGS65071C010
